,AUC,정확도,정밀도,재현율,F1
XGB_robustScaler_HO,0.9645,0.9996,0.931,0.8265,0.8757
XGB_robustScaler_HO_smote,0.9757,0.9991,0.6983,0.8265,0.757
XGB_robustScaler_HO_under,0.9725,0.9402,0.0255,0.9082,0.0497
XGB_robustScaler_HO_combined,0.9757,0.9991,0.6983,0.8265,0.757
GB_robustScaler_HO,0.2959,0.9985,0.7308,0.1939,0.3065
GB_robustScaler_HO_smote,0.975,0.9874,0.1094,0.8878,0.1948
GB_robustScaler_HO_under,0.9715,0.9597,0.0367,0.8878,0.0705
GB_robustScaler_HO_combined,0.975,0.9874,0.1094,0.8878,0.1948
DT_robustScaler_HO,0.8926,0.9992,0.7549,0.7857,0.77
DT_robustScaler_HO_smote,0.8714,0.9974,0.3744,0.7449,0.4983
DT_robustScaler_HO_under,0.9125,0.9169,0.0185,0.9082,0.0362
DT_robustScaler_HO_combined,0.8714,0.9974,0.3744,0.7449,0.4983
mlp_robustScaler_HO,0.9652,0.9995,0.908,0.8061,0.8541
mlp_robustScaler_HO_smote,0.9663,0.9991,0.7182,0.8061,0.7596
mlp_robustScaler_HO_under,0.9719,0.9682,0.0461,0.8878,0.0877
mlp_robustScaler_HO_combined,0.9663,0.9991,0.7182,0.8061,0.7596
lr_robustScaler_HO,0.9605,0.9764,0.0613,0.8878,0.1147
lr_robustScaler_HO_smote,0.9601,0.9754,0.0583,0.8776,0.1093
lr_robustScaler_HO_under,0.9689,0.9838,0.0862,0.8776,0.1569
lr_robustScaler_HO_combined,0.9601,0.9754,0.0583,0.8776,0.1093
