iter	Passed	Remaining
0	12	12123
1	25	12613
2	38	12702
3	52	12997
4	63	12681
5	75	12523
6	87	12415
7	100	12481
8	112	12412
9	125	12419
10	138	12444
11	151	12485
12	164	12459
13	176	12397
14	188	12372
15	201	12376
16	213	12330
17	224	12256
18	236	12235
19	249	12215
20	260	12155
21	272	12114
22	285	12135
23	298	12158
24	311	12143
25	323	12118
26	336	12110
27	349	12138
28	361	12090
29	375	12130
30	389	12165
31	403	12196
32	416	12190
33	429	12191
34	457	12604
35	469	12577
36	483	12586
37	497	12602
38	513	12642
39	527	12669
40	542	12694
41	569	12993
42	582	12962
43	595	12930
44	607	12890
45	619	12855
46	632	12819
47	645	12809
48	659	12790
49	672	12783
50	684	12744
51	697	12722
52	710	12695
53	724	12697
54	736	12661
55	750	12659
56	765	12669
57	778	12648
58	792	12637
59	806	12630
60	818	12601
61	832	12592
62	845	12581
63	858	12561
64	871	12543
65	884	12521
66	897	12492
67	910	12480
68	924	12467
69	937	12449
70	949	12426
71	962	12406
72	976	12401
73	989	12383
74	1003	12378
75	1015	12351
76	1030	12348
77	1043	12335
78	1055	12308
79	1069	12300
80	1084	12309
81	1097	12287
82	1110	12272
83	1123	12256
84	1136	12238
85	1150	12231
86	1163	12206
87	1175	12185
88	1189	12176
89	1203	12171
90	1217	12162
91	1230	12139
92	1241	12110
93	1254	12089
94	1266	12069
95	1278	12036
96	1291	12022
97	1303	11995
98	1316	11979
99	1329	11961
100	1340	11935
101	1353	11914
102	1366	11896
103	1377	11869
104	1390	11852
105	1404	11847
106	1417	11826
107	1429	11810
108	1442	11790
109	1454	11767
110	1467	11751
111	1479	11733
112	1491	11706
113	1504	11691
114	1517	11677
115	1530	11664
116	1542	11642
117	1554	11622
118	1567	11607
119	1579	11586
120	1592	11569
121	1606	11558
122	1619	11544
123	1631	11524
124	1643	11503
125	1655	11480
126	1667	11459
127	1679	11441
128	1691	11421
129	1702	11396
130	1716	11388
131	1731	11383
132	1746	11382
133	1758	11367
134	1771	11349
135	1783	11327
136	1796	11314
137	1809	11302
